Entity,Code,Year,Fertility_rate19,Population19,Per_cap17
Afghanistan,AFG,2019,4.321,38042000,2014.75
Albania,ALB,2019,1.597,2881000,10702.12
Algeria,DZA,2019,2.988,43053000,14267.23
Angola,AGO,2019,5.442,31825000,8146.44
Argentina,ARG,2019,2.247,44781000,19200.91
Armenia,ARM,2019,1.758,2958000,10859.38
Australia,AUS,2019,1.815,25203000,49265.61
Austria,AUT,2019,1.544,8955000,42177.37
Azerbaijan,AZE,2019,2.063,10048000,16522.31
Bahrain,BHR,2019,1.964,1641000,40695.72
Bangladesh,BGD,2019,2.011,163046000,3837.05
Barbados,BRB,2019,1.623,287000,12061.1
Belarus,BLR,2019,1.722,9452000,18113.38
Belgium,BEL,2019,1.715,11539000,39352.16
Benin,BEN,2019,4.767,11801000,2141.57
Bolivia,BOL,2019,2.688,11513000,6521.37
Bosnia and Herzegovina,BIH,2019,1.254,3301000,10069.24
Botswana,BWA,2019,2.836,2304000,15397.43
Brazil,BRA,2019,1.719,211050000,13951.6
Bulgaria,BGR,2019,1.574,7000000,17763.69
Burkina Faso,BFA,2019,5.109,20321000,1530.2
Burundi,BDI,2019,5.321,11531000,671.32
Cambodia,KHM,2019,2.478,16487000,3425.39
Cameroon,CMR,2019,4.506,25876000,2850.27
Canada,CAN,2019,1.509,37411000,44591.64
Cape Verde,CPV,2019,2.242,550000,6576.94
Central African Republic,CAF,2019,4.645,4745000,606.7
Chad,TCD,2019,5.649,15947000,2066.35
Chile,CHL,2019,1.627,18952000,21650.39
China,CHN,2019,1.696,1433784064,12733.93
Colombia,COL,2019,1.789,50339000,13358.03
Comoros,COM,2019,4.138,851000,1712.84
Congo,COG,2019,4.374,5381000,5747.03
Costa Rica,CRI,2019,1.737,5048000,14470.78
Cote d'Ivoire,CIV,2019,4.593,25717000,3558.84
Croatia,HRV,2019,1.431,4130000,21232.36
Cuba,CUB,2019,1.602,11333000,8141.74
Cyprus,CYP,2019,1.321,1199000,26445.29
Czechia,CZE,2019,1.659,10689000,29997.76
Democratic Republic of Congo,COD,2019,5.819,86791000,838.78
Denmark,DNK,2019,1.764,5772000,45455.56
Djibouti,DJI,2019,2.676,974000,3168.45
Dominica,DMA,2019,NULL,72000,8842.02
Dominican Republic,DOM,2019,2.323,10739000,15018.94
Ecuador,ECU,2019,2.403,17374000,10637.28
