Entity,Country_Code,Region,IncomeGroup,Women_Violence,Literacy_rate_2018
Afghanistan,AFG,South Asia,Low income,80.2,56.2547492980957
Albania,ALB,Europe & Central Asia,Upper middle income,29.8,99.629997253418
Argentina,ARG,Latin America & Caribbean,Upper middle income,11.6,99.7576522827148
Benin,BEN,Sub-Saharan Africa,Lower middle income,36,51.9436187744141
Burkina Faso,BFA,Sub-Saharan Africa,Low income,43.5,54.6699981689453
Bangladesh,BGD,South Asia,Lower middle income,28.3,94.9125900268555
Belarus,BLR,Europe & Central Asia,Upper middle income,4.1,99.870002746582
Brazil,BRA,Latin America & Caribbean,Upper middle income,8.5,99.4315338134766
Central African Republic,CAF,Sub-Saharan Africa,Low income,79.6,28.7066593170166
China,CHN,East Asia & Pacific,Upper middle income,32.7,99.7833786010742
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,47.9,53.0251007080078
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,36.1,82.4100036621094
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,54.2,78.7423095703125
Colombia,COL,Latin America & Caribbean,Upper middle income,11.1,99.0696029663086
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,3.5,99.5299987792969
Algeria,DZA,Middle East & North Africa,Lower middle income,48.2,97.2521591186523
Eritrea,ERI,Sub-Saharan Africa,Low income,51.4,92.7140274047852
Spain,ESP,Europe & Central Asia,High income,9.6,99.743896484375
Gabon,GAB,Sub-Saharan Africa,Upper middle income,50.2,91.4493789672852
Ghana,GHA,Sub-Saharan Africa,Lower middle income,28.3,92.2085494995117
Greece,GRC,Europe & Central Asia,High income,2,99.0699996948242
Honduras,HND,Latin America & Caribbean,Lower middle income,12.4,98.1850967407227
Indonesia,IDN,East Asia & Pacific,Upper middle income,34.5,99.6962509155273
India,IND,South Asia,Lower middle income,22.1,90.1694107055664
Italy,ITA,Europe & Central Asia,High income,5.3,99.9499969482422
Jordan,JOR,Middle East & North Africa,Upper middle income,18,99.4939117431641
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,14.2,99.8509063720703
Kenya,KEN,Sub-Saharan Africa,Lower middle income,41.8,88.0800018310547
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,32.8,99.8099975585938
Kuwait,KWT,Middle East & North Africa,High income,37,99.503547668457
Lebanon,LBN,Middle East & North Africa,Upper middle income,43.6,99.838981628418
Sri Lanka,LKA,South Asia,Lower middle income,53.2,99.0445938110352
Latvia,LVA,Europe & Central Asia,High income,2,99.8600006103516
Morocco,MAR,Middle East & North Africa,Lower middle income,22,97.4000015258789
Madagascar,MDG,Sub-Saharan Africa,Low income,45.2,80.6780319213867
Mexico,MEX,Latin America & Caribbean,Upper middle income,5,99.3884735107422
Mali,MLI,Sub-Saharan Africa,Low income,72.6,43.3981094360352
Malta,MLT,Middle East & North Africa,High income,0,99.5608825683594
Montenegro,MNE,Europe & Central Asia,Upper middle income,2.7,98.9700012207031
Mongolia,MNG,East Asia & Pacific,Lower middle income,10.1,99.0800018310547
Malaysia,MYS,East Asia & Pacific,Upper middle income,41.5,97.0185317993164
Namibia,NAM,Sub-Saharan Africa,Upper middle income,28.2,96.1984405517578
Niger,NER,Sub-Saharan Africa,Low income,59.6,35.560001373291
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,34.7,68.2626266479492
Nepal,NPL,South Asia,Lower middle income,42.9,90.8834686279297
Oman,OMN,Middle East & North Africa,High income,7.9,98.9794311523438
Panama,PAN,Latin America & Caribbean,High income,5.7,98.8742904663086
Peru,PER,Latin America & Caribbean,Upper middle income,32.2,98.9669723510742
Portugal,PRT,Europe & Central Asia,High income,2,99.7015609741211
Paraguay,PRY,Latin America & Caribbean,Upper middle income,22.9,98.8678436279297
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,38.7,99.3823928833008
Romania,ROU,Europe & Central Asia,High income,7.5,99.4396820068359
Russian Federation,RUS,Europe & Central Asia,Upper middle income,23.3,99.7490921020508
Rwanda,RWA,Sub-Saharan Africa,Low income,41.4,88.501823425293
Sudan,SDN,Sub-Saharan Africa,Low income,34,73.4899978637695
Singapore,SGP,East Asia & Pacific,High income,40.5,99.9423675537109
Sierra Leone,SLE,Sub-Saharan Africa,Low income,62.8,62.69921875
El Salvador,SLV,Latin America & Caribbean,Lower middle income,7.7,98.2106781005859
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,19.9,96.6952514648438
Thailand,THA,East Asia & Pacific,Upper middle income,8.6,98.5939331054688
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,86.2,84.6505126953125
Uganda,UGA,Sub-Saharan Africa,Low income,58.3,89.9506378173828
Uruguay,URY,Latin America & Caribbean,High income,1.5,99.1659927368164
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,41.5,99.9999237060547
Vietnam,VNM,East Asia & Pacific,Lower middle income,28.2,98.353141784668
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,46.9,91.6281890869141
